=== 일괄 분석 결과 요약 (en -> kr) ===

분석된 파일 수: 231
평균 최종 점수: 0.7072
평균 프로소디 점수: 0.6367
평균 정렬 점수: 0.7248

사용된 임베딩 모델: laser
의미 유사도 임계값: 0.3

== 개별 파일 점수 ==
181. p225_347: 0.6517 (정렬: 0.6569, 등급: B)
182. p225_006: 0.6516 (정렬: 0.6504, 등급: B)
183. p225_175: 0.6504 (정렬: 0.6377, 등급: B)
184. p225_111: 0.6495 (정렬: 0.6439, 등급: C)
185. p225_285: 0.6483 (정렬: 0.6491, 등급: C)
186. p225_351: 0.6477 (정렬: 0.6503, 등급: C)
187. p225_046: 0.6467 (정렬: 0.6622, 등급: C)
188. p225_279: 0.6460 (정렬: 0.6464, 등급: C)
189. p225_236: 0.6455 (정렬: 0.6505, 등급: C)
190. p225_028: 0.6452 (정렬: 0.6588, 등급: C)
191. p225_040: 0.6439 (정렬: 0.6429, 등급: C)
192. p225_220: 0.6427 (정렬: 0.6475, 등급: C)
193. p225_090: 0.6423 (정렬: 0.6396, 등급: C)
194. p225_317: 0.6423 (정렬: 0.6597, 등급: C)
195. p225_302: 0.6412 (정렬: 0.6602, 등급: C)
196. p225_242: 0.6401 (정렬: 0.6453, 등급: C)
197. p225_092: 0.6382 (정렬: 0.6458, 등급: C)
198. p225_300: 0.6327 (정렬: 0.6405, 등급: C)
199. p225_240: 0.6322 (정렬: 0.6281, 등급: C)
200. p225_289: 0.6321 (정렬: 0.6408, 등급: C)
201. p225_038: 0.6295 (정렬: 0.6402, 등급: C)
202. p225_070: 0.6279 (정렬: 0.6282, 등급: C)
203. p225_110: 0.6247 (정렬: 0.6158, 등급: C)
204. p225_054: 0.6240 (정렬: 0.6247, 등급: C)
205. p225_176: 0.6220 (정렬: 0.6269, 등급: C)
206. p225_152: 0.6214 (정렬: 0.6287, 등급: C)
207. p225_239: 0.6207 (정렬: 0.6198, 등급: C)
208. p225_147: 0.6207 (정렬: 0.6161, 등급: C)
209. p225_303: 0.6205 (정렬: 0.6146, 등급: C)
210. p225_330: 0.6187 (정렬: 0.6050, 등급: C)
211. p225_329: 0.6165 (정렬: 0.6195, 등급: C)
212. p225_320: 0.6162 (정렬: 0.6264, 등급: C)
213. p225_297: 0.6152 (정렬: 0.6141, 등급: C)
214. p225_235: 0.6118 (정렬: 0.6147, 등급: C)
215. p225_056: 0.6086 (정렬: 0.6095, 등급: C)
216. p225_158: 0.6081 (정렬: 0.5975, 등급: C)
217. p225_156: 0.6077 (정렬: 0.6104, 등급: C)
218. p225_328: 0.6034 (정렬: 0.6106, 등급: C)
219. p225_290: 0.6008 (정렬: 0.5977, 등급: C)
220. p225_286: 0.5960 (정렬: 0.5926, 등급: C)
221. p225_273: 0.5954 (정렬: 0.5942, 등급: C)
222. p225_114: 0.5803 (정렬: 0.5721, 등급: C)
223. p225_281: 0.5661 (정렬: 0.5502, 등급: C)
224. p225_315: 0.5058 (정렬: 0.4731, 등급: D)
225. p225_192: 0.5033 (정렬: 0.4557, 등급: D)
226. p225_294: 0.4994 (정렬: 0.4506, 등급: D)
227. p225_037: 0.4760 (정렬: 0.4330, 등급: D)
228. p225_241: 0.4604 (정렬: 0.4122, 등급: D)
229. p225_212: 0.4418 (정렬: 0.3901, 등급: F)
230. p225_350: 0.4169 (정렬: 0.3583, 등급: F)
231. p225_196: 0.4033 (정렬: 0.3403, 등급: F)

== 일반적인 개선 제안사항 ==
